output_feature,source_feature,source_table,extract_table_alias,is_output_renamed
m1_rep_apl_suc_amt_avg,m1_rep_apl_suc_amt_avg,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_rep_apply_summary_1_feature,t20,False
sum_talk_duration_30d,sum_talk_duration_30d,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dh_model_final_13collection_call_info_trend_features_di_feature,t21,False
sum_talk_duration_180d,sum_talk_duration_180d,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dh_model_final_13collection_call_info_trend_features_di_feature,t21,False
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_new_df_feature,t22,False
m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_max,m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_max,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_rep_apply_summary_4_feature,t23,False
lag_his_rep_amt_sum_per_mth_btch_rat_max,lag_his_rep_amt_sum_per_mth_btch_rat_max,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_12his_rep_pressure_trend_df_feature,t24,False
credit_fund_level2_reject_cnt_36m,credit_fund_level2_reject_cnt_36m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_31light_credit_trade_cross_df_feature,t25,False
credit_min_limit_cnt_all,credit_min_limit_cnt_all,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_31light_credit_trade_cross_df_feature,t25,False
stg_pln_pay_off_sum_prc_amt_1m_3m_rto,stg_pln_pay_off_sum_prc_amt_1m_3m_rto,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_rep_will_pressure_derived_df_feature,t26,False
3stg_pln_repay_amt_first_der_stddev,3stg_pln_repay_amt_first_der_stddev,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_his_rep_trend_time_series_df_feature,t27,False
d90_repaid_exclude_principal_fee_stddev,d90_repaid_exclude_principal_fee_stddev,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_26_lending_costs_detail_df_feature,t28,False
d1080_sum_repaid_interest_fee_sum_divide_d1080_principal_sum,d1080_sum_repaid_interest_fee_sum_divide_d1080_principal_sum,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_26_lending_costs_detail_df_feature,t28,False
max_rsk_avl_lmt_bjq_12m_all,max_rsk_avl_lmt_bjq_12m_all,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,t29,False
sum_avb_lmt_2m_v2,sum_avb_lmt_2m_v2,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_5account_extra_df_feature,t30,False
18m_repay_ftr_amt_second_der_mean_diff,18m_repay_ftr_amt_second_der_mean_diff,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_ftr_rep_trend_time_series_df_feature,t31,False
stg_pln_pay_off_sum_prc_amt_14d,stg_pln_pay_off_sum_prc_amt_14d,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_rep_will_pressure_df_feature,t32,False
min_ddf_mdl_rep_dte_his_bjq,min_ddf_mdl_rep_dte_his_bjq,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_rep_will_pressure_jqh_df_feature,t33,False
